SPE1020214410,1
SPE1020149410,1
SPE1010344410,1
SPE1010299420,1
SPE1010299420,1
910520440,1
1102035041,1
1102044842,1
1102044842,1
1102035041,1
1102035041,1
1102035042,1
SPE1020214400,1
SPE1020214400,1
SPE1010336400,1
SPE1020152430,1
SPE1020152410,1
SPE1010305420,1
1104013742,1
1104013742,1
1104013942,1
1104013942,1
1103030343,1
SPE1010299410,1
SPE1010326420,1
SPE1020290400,1
SPE1010299410,1
SPE1010344420,1
SPE1010326420,1
SPE1010326420,1
SPE1010299430,1
SPE1010299430,1
SPE1020285400,1
SPE1020290400,1
SPE1020290430,1
SPE1020327400,1
SPE1020327420,1
SPE1020327420,1
SPE1010294410,1
SPE1020327410,1
SPE402232420,1
SPE1020327410,1
SPE1010299440,1
SPE1010294420,1
SPE1010294420,1
SPE1010074390,1
SPE1010074390,1
910520742,1
910520742,1
910520642,1
910520642,1
SPE1010336410,1
SPE1010299420,1
1104016542,1
1104015342,1
1103030342,1
1104013742,1
1104016542,1
1104015342,1
1104015342,1
910520641,1
910520641,1
1104015644,1
SPSARD9342,1
N624378501122342,1
SPSARDI18244,1
SPSARDI18242,1
SPSARD18140,1
SPSARDI18240,1
910520741,1
SPSARD18144,1
910520441,1
910520640,1
1104015341,1
1104013741,1
1104013741,1
1103030341,1
1104016541,1
1103025842,1
1103025842,1
1104015239,1
1103025841,1
1103025841,1
1104015639,1
SPSARD18342,1
SPSARD18341,1
910520743,1
910520643,1
1104015341,1
1104015639,1
1104013638,1
1104013940,1
1104013940,1
1104016540,1
SPSARD18143,1
SPSARDI18241,1
SPSARDI18142,1
SPSARDI18142,1
SPSARDI18242,1
N624378501122342,1
SPE1030003420,1
SPE1020076420,1
SPE1010305400,1
SPE1020076420,1
SPE1010305410,1
SPE1020285420,1
SPE1020214420,1
SPE1010326370,1
SPE1010336420,1
SPSARD18245,1
SPSARD18243,1
SPSARD9343,1
1FVL452A02543,1
SPE1020214410,1
1FVL352A02341,1
1104015641,1
1104015641,1
1FVL352A03442,1
1011B97442,1
1011B97400340,1
N624378501122341,1
N624378501122344,1
1103025840,1
SPE402232390,1
SPE1020152400,1
SPE1020327430,1
SPE1010326380,1
SPE402231400,1
SPE1010344400,1
1102035042,1
1102035042,1
SPE1030003430,1
CBJZ125XL,1
MSLAVO01L,1
CLNJ02S,1
CLNJ01M,1
CLNJ02L,1
MSLJEZ18M,1
MSLJEZ18M,1
MSLJEZ18L,1
CLNJ01M,1
CBJZ1252X,1
CBJZ39L,1
CBJZ125XL,1
CBJZ125XL,1
CBJZ39X,1
CBJZ39X,1
CBJZ392,1
CBJZ125L,1
CBJZ125L,1
CBJZ1252X,1
CBJZ1252X,1
CBJZ126XL,1
CBJZ125L,1
CBJZ39L,1
CBJZ126M,1
CLNJ02M,1
CLNJ02X,1
MSLAVO02L,1
MSLAVO01M,1
MSIMAN03M,1
MSLAVO02L,1
CLNJ02M,1
CLNJ01M,1
CLNJ02X,1
CBJZ126L,1
CBJZ1272X,1
CBJZ1272X,1
